statement_type,raw_concept,canonical_row_id,mapping_status,notes
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:CostOfRevenue,us-gaap:CostOfRevenue,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:GrossProfit,us-gaap:GrossProfit,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,html:operating-expenses,us-gaap:OperatingExpenses,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx; dedup_merged_into:us-gaap:OperatingExpenses:similar_label_sparse
income_statement,us-gaap:ResearchAndDevelopmentExpense,us-gaap:ResearchAndDevelopmentExpense,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:SellingAndMarketingExpense,us-gaap:SellingAndMarketingExpense,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:GeneralAndAdministrativeExpense,us-gaap:GeneralAndAdministrativeExpense,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:OperatingExpenses,us-gaap:OperatingExpenses,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:OperatingIncomeLoss,us-gaap:OperatingIncomeLoss,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:OtherIncome,us-gaap:OtherIncome,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:OtherExpenses,us-gaap:OtherExpenses,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:NonoperatingIncomeExpense,us-gaap:NonoperatingIncomeExpense,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,duol:IncomeLossFromContinuingOperationsBeforeInterestIncomeIncomeTaxesNoncontrollingInterests,duol:IncomeLossFromContinuingOperationsBeforeInterestIncomeIncomeTaxesNoncontrollingInterests,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:InterestIncomeOperating,us-gaap:InterestIncomeOperating,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:IncomeTaxExpenseBenefit,us-gaap:IncomeTaxExpenseBenefit,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:NetIncomeLoss,us-gaap:NetIncomeLoss,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:EarningsPerShareBasic,us-gaap:EarningsPerShareBasic,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
income_statement,us-gaap:EarningsPerShareDiluted,us-gaap:EarningsPerShareDiluted,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:CashAndCashEquivalentsAtCarryingValue,us-gaap:CashAndCashEquivalentsAtCarryingValue,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent,us-gaap:DebtSecuritiesHeldToMaturityAmortizedCostAfterAllowanceForCreditLossCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:AccountsReceivableNetCurrent,us-gaap:AccountsReceivableNetCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:CapitalizedContractCostNetCurrent,us-gaap:CapitalizedContractCostNetCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:IncomeTaxReceivable,us-gaap:IncomeTaxReceivable,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:PrepaidExpenseAndOtherAssetsCurrent,us-gaap:PrepaidExpenseAndOtherAssetsCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:AssetsCurrent,us-gaap:AssetsCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:OperatingLeaseRightOfUseAsset,us-gaap:OperatingLeaseRightOfUseAsset,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:LongTermInvestments,us-gaap:LongTermInvestments,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:IntangibleAssetsNetExcludingGoodwill,us-gaap:IntangibleAssetsNetExcludingGoodwill,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:PropertyPlantAndEquipmentNet,us-gaap:PropertyPlantAndEquipmentNet,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:Goodwill,us-gaap:Goodwill,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:RestrictedCashNoncurrent,us-gaap:RestrictedCashNoncurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:DeferredIncomeTaxAssetsNet,us-gaap:DeferredIncomeTaxAssetsNet,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:OtherAssetsNoncurrent,us-gaap:OtherAssetsNoncurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:Assets,us-gaap:Assets,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,html:liabilities-and-stockholders-equity,html:liabilities-and-stockholders-equity,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,html:current-liabilities,html:current-liabilities,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:ContractWithCustomerLiabilityCurrent,us-gaap:ContractWithCustomerLiabilityCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:AccountsPayableCurrent,us-gaap:AccountsPayableCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:AccruedIncomeTaxesCurrent,us-gaap:AccruedIncomeTaxesCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:AccruedLiabilitiesCurrent,us-gaap:AccruedLiabilitiesCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:LiabilitiesCurrent,us-gaap:LiabilitiesCurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:OperatingLeaseLiabilityNoncurrent,us-gaap:OperatingLeaseLiabilityNoncurrent,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:DeferredIncomeTaxLiabilitiesNet,us-gaap:DeferredIncomeTaxLiabilitiesNet,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:Liabilities,us-gaap:Liabilities,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,us-gaap:CommitmentsAndContingencies,us-gaap:CommitmentsAndContingencies,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
balance_sheet,html:stockholders-equity,html:stockholders-equity,auto_from_master,Seeded from master 10-K: DUOL_SEC-XBRL-financials_as-presented_10-K_2026-02-27_0001628280-26-012494.xlsx
