statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
cash_flow,us-gaap:ProceedsFromLinesOfCredit,FY22,12.915,MYRG_SEC-XBRL-financials_as-presented_10-K_2023-02-22_0000700923-23-000012.xlsx,Cash Flow,"Year ended December 31, 2022",us-gaap:ProceedsFromRepaymentsOfLinesOfCredit,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2023-02-22_0000700923-23-000012.xlsx
cash_flow,us-gaap:ProceedsFromLinesOfCredit,FY22,198.697,MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx,Cash Flow,"Year ended December 31, 2022",us-gaap:ProceedsFromLinesOfCredit,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2023-02-22_0000700923-23-000012.xlsx
cash_flow,us-gaap:ProceedsFromLinesOfCredit,FY22,198.697,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Cash Flow,"Year ended December 31, 2022",us-gaap:ProceedsFromLinesOfCredit,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2023-02-22_0000700923-23-000012.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerAsset,FY23,-119.246,MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx,Cash Flow,"Year ended December 31, 2023",us-gaap:IncreaseDecreaseInContractWithCustomerAsset,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerAsset,FY23,-119.246,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Cash Flow,"Year ended December 31, 2023",us-gaap:IncreaseDecreaseInContractWithCustomerAsset,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerAsset,FY23,-109.822,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Cash Flow,"Year ended December 31, 2023",us-gaap:IncreaseDecreaseInContractWithCustomerAsset,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerLiability,FY23,13.151,MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx,Cash Flow,"Year ended December 31, 2023",us-gaap:IncreaseDecreaseInContractWithCustomerLiability,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerLiability,FY23,13.151,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Cash Flow,"Year ended December 31, 2023",us-gaap:IncreaseDecreaseInContractWithCustomerLiability,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerLiability,FY23,3.727,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Cash Flow,"Year ended December 31, 2023",us-gaap:IncreaseDecreaseInContractWithCustomerLiability,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2024-02-28_0000700923-24-000008.xlsx
balance_sheet,us-gaap:ContractWithCustomerAssetNetCurrent,FY24,301.942,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Balance Sheet,"December 31, 2024",us-gaap:ContractWithCustomerAssetNetCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerAssetNetCurrent,FY24,216.687,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Balance Sheet,"December 31, 2024",us-gaap:ContractWithCustomerAssetNetCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerAssetNetCurrent,FY24,301.942,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-04-30_0000700923-25-000022.xlsx,Balance Sheet,"December 31,2024",us-gaap:ContractWithCustomerAssetNetCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerAssetNetCurrent,FY24,301.942,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-07-30_0000700923-25-000029.xlsx,Balance Sheet,"December 31,2024",us-gaap:ContractWithCustomerAssetNetCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerAssetNetCurrent,FY24,301.942,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-10-29_0000700923-25-000043.xlsx,Balance Sheet,"December 31,2024",us-gaap:ContractWithCustomerAssetNetCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:AssetsCurrent,FY24,1014.662,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Balance Sheet,"December 31, 2024",us-gaap:AssetsCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:AssetsCurrent,FY24,929.407,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Balance Sheet,"December 31, 2024",us-gaap:AssetsCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:AssetsCurrent,FY24,1014.662,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-04-30_0000700923-25-000022.xlsx,Balance Sheet,"December 31,2024",us-gaap:AssetsCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:AssetsCurrent,FY24,1014.662,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-07-30_0000700923-25-000029.xlsx,Balance Sheet,"December 31,2024",us-gaap:AssetsCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:AssetsCurrent,FY24,1014.662,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-10-29_0000700923-25-000043.xlsx,Balance Sheet,"December 31,2024",us-gaap:AssetsCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Assets,FY24,1574.059,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Balance Sheet,"December 31, 2024",us-gaap:Assets,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Assets,FY24,1488.804,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Balance Sheet,"December 31, 2024",us-gaap:Assets,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Assets,FY24,1574.059,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-04-30_0000700923-25-000022.xlsx,Balance Sheet,"December 31,2024",us-gaap:Assets,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Assets,FY24,1574.059,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-07-30_0000700923-25-000029.xlsx,Balance Sheet,"December 31,2024",us-gaap:Assets,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Assets,FY24,1574.059,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-10-29_0000700923-25-000043.xlsx,Balance Sheet,"December 31,2024",us-gaap:Assets,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerLiabilityCurrent,FY24,321.958,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Balance Sheet,"December 31, 2024",us-gaap:ContractWithCustomerLiabilityCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerLiabilityCurrent,FY24,236.703,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Balance Sheet,"December 31, 2024",us-gaap:ContractWithCustomerLiabilityCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerLiabilityCurrent,FY24,321.958,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-04-30_0000700923-25-000022.xlsx,Balance Sheet,"December 31,2024",us-gaap:ContractWithCustomerLiabilityCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerLiabilityCurrent,FY24,321.958,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-07-30_0000700923-25-000029.xlsx,Balance Sheet,"December 31,2024",us-gaap:ContractWithCustomerLiabilityCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:ContractWithCustomerLiabilityCurrent,FY24,321.958,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-10-29_0000700923-25-000043.xlsx,Balance Sheet,"December 31,2024",us-gaap:ContractWithCustomerLiabilityCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesCurrent,FY24,748.9,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Balance Sheet,"December 31, 2024",us-gaap:LiabilitiesCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesCurrent,FY24,663.645,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Balance Sheet,"December 31, 2024",us-gaap:LiabilitiesCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesCurrent,FY24,748.9,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-04-30_0000700923-25-000022.xlsx,Balance Sheet,"December 31,2024",us-gaap:LiabilitiesCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesCurrent,FY24,748.9,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-07-30_0000700923-25-000029.xlsx,Balance Sheet,"December 31,2024",us-gaap:LiabilitiesCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesCurrent,FY24,748.9,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-10-29_0000700923-25-000043.xlsx,Balance Sheet,"December 31,2024",us-gaap:LiabilitiesCurrent,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Liabilities,FY24,973.699,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Balance Sheet,"December 31, 2024",us-gaap:Liabilities,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Liabilities,FY24,888.444,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Balance Sheet,"December 31, 2024",us-gaap:Liabilities,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Liabilities,FY24,973.699,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-04-30_0000700923-25-000022.xlsx,Balance Sheet,"December 31,2024",us-gaap:Liabilities,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Liabilities,FY24,973.699,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-07-30_0000700923-25-000029.xlsx,Balance Sheet,"December 31,2024",us-gaap:Liabilities,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:Liabilities,FY24,973.699,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-10-29_0000700923-25-000043.xlsx,Balance Sheet,"December 31,2024",us-gaap:Liabilities,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesAndStockholdersEquity,FY24,1574.059,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Balance Sheet,"December 31, 2024",us-gaap:LiabilitiesAndStockholdersEquity,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesAndStockholdersEquity,FY24,1488.804,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Balance Sheet,"December 31, 2024",us-gaap:LiabilitiesAndStockholdersEquity,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesAndStockholdersEquity,FY24,1574.059,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-04-30_0000700923-25-000022.xlsx,Balance Sheet,"December 31,2024",us-gaap:LiabilitiesAndStockholdersEquity,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesAndStockholdersEquity,FY24,1574.059,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-07-30_0000700923-25-000029.xlsx,Balance Sheet,"December 31,2024",us-gaap:LiabilitiesAndStockholdersEquity,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
balance_sheet,us-gaap:LiabilitiesAndStockholdersEquity,FY24,1574.059,MYRG_SEC-XBRL-financials_as-presented_10-Q_2025-10-29_0000700923-25-000043.xlsx,Balance Sheet,"December 31,2024",us-gaap:LiabilitiesAndStockholdersEquity,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerAsset,FY24,114.776,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Cash Flow,"Year ended December 31, 2024",us-gaap:IncreaseDecreaseInContractWithCustomerAsset,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerAsset,FY24,120.676,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Cash Flow,"Year ended December 31, 2024",us-gaap:IncreaseDecreaseInContractWithCustomerAsset,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerLiability,FY24,82.557,MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx,Cash Flow,"Year ended December 31, 2024",us-gaap:IncreaseDecreaseInContractWithCustomerLiability,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
cash_flow,us-gaap:IncreaseDecreaseInContractWithCustomerLiability,FY24,76.657,MYRG_SEC-XBRL-financials_as-presented_10-K_2026-02-25_0000700923-26-000007.xlsx,Cash Flow,"Year ended December 31, 2024",us-gaap:IncreaseDecreaseInContractWithCustomerLiability,Kept period-primary filing MYRG_SEC-XBRL-financials_as-presented_10-K_2025-02-26_0000700923-25-000006.xlsx
