statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY19,25.884,PRGS_SEC-XBRL-financials_as-presented_10-K_2020-01-27_0000876167-20-000027.xlsx,Income Statement,"Fiscal Year Ended November 30, 2019",us-gaap:CostOfGoodsAndServicesSoldAmortization,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2020-01-27_0000876167-20-000027.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY19,49.127,PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx,Income Statement,"Fiscal Year Ended November 30, 2019",prgs:AmortizationOfAcquiredIntangiblesAndOther,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2020-01-27_0000876167-20-000027.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY21,47.507,PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx,Income Statement,"Fiscal Year Ended November 30, 2021",prgs:AmortizationOfAcquiredIntangiblesAndOther,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY21,14.936,PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx,Income Statement,"Fiscal Year Ended November 30, 2021",us-gaap:CostOfGoodsAndServicesSoldAmortization,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY21,47.507,PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx,Income Statement,"Fiscal Year Ended November 30, 2021",prgs:AmortizationOfAcquiredIntangiblesAndOther,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY21,8.195,PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx,Income Statement,"Fiscal Year Ended November 30, 2021",us-gaap:AmortizationOfFinancingCostsAndDiscounts,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY21,-19.268,PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx,Income Statement,"Fiscal Year Ended November 30, 2021",us-gaap:InterestExpense + us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY21,8.195,PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx,Income Statement,"Fiscal Year Ended November 30, 2021",us-gaap:AmortizationOfFinancingCostsAndDiscounts,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2022-01-27_0000876167-22-000038.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY22,22.076,PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx,Income Statement,"Fiscal Year Ended November 30, 2022",us-gaap:CostOfGoodsAndServicesSoldAmortization,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY22,69.73,PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx,Income Statement,"Fiscal Year Ended November 30, 2022",prgs:AmortizationOfAcquiredIntangiblesAndOther,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY22,22.076,PRGS_SEC-XBRL-financials_as-presented_10-K_2025-01-21_0000876167-25-000010.xlsx,Income Statement,"Fiscal Year Ended November 30, 2022",us-gaap:CostOfGoodsAndServicesSoldAmortization,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY22,-14.376,PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx,Income Statement,"Fiscal Year Ended November 30, 2022",us-gaap:InterestExpense + us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY22,2.112,PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx,Income Statement,"Fiscal Year Ended November 30, 2022",us-gaap:AmortizationOfFinancingCostsAndDiscounts,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY22,-14.376,PRGS_SEC-XBRL-financials_as-presented_10-K_2025-01-21_0000876167-25-000010.xlsx,Income Statement,"Fiscal Year Ended November 30, 2022",us-gaap:InterestExpenseNonoperating + us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2023-01-27_0000876167-23-000036.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY23,96.802,PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx,Income Statement,"Fiscal Year Ended November 30, 2023",prgs:AmortizationOfAcquiredIntangiblesAndOther,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY23,30.169,PRGS_SEC-XBRL-financials_as-presented_10-K_2025-01-21_0000876167-25-000010.xlsx,Income Statement,"Fiscal Year Ended November 30, 2023",us-gaap:CostOfGoodsAndServicesSoldAmortization,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSoldAmortization,FY23,30.169,PRGS_SEC-XBRL-financials_as-presented_10-K_2026-01-20_0000876167-26-000008.xlsx,Income Statement,"Fiscal Year Ended November 30, 2023",us-gaap:CostOfGoodsAndServicesSoldAmortization,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY23,2.147,PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx,Income Statement,"Fiscal Year Ended November 30, 2023",us-gaap:AmortizationOfFinancingCostsAndDiscounts,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY23,-28.242,PRGS_SEC-XBRL-financials_as-presented_10-K_2025-01-21_0000876167-25-000010.xlsx,Income Statement,"Fiscal Year Ended November 30, 2023",us-gaap:InterestExpenseNonoperating + us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY23,-28.242,PRGS_SEC-XBRL-financials_as-presented_10-K_2026-01-20_0000876167-26-000008.xlsx,Income Statement,"Fiscal Year Ended November 30, 2023",us-gaap:InterestExpenseNonoperating + us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-K_2024-01-26_0000876167-24-000031.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,1Q19,0.229,PRGS_SEC-XBRL-financials_as-presented_10-Q_2019-04-05_0000876167-19-000063.xlsx,Income Statement,"Three Months Ended February 28, 2019",html:interest-income-and-other-net,Kept period-primary filing PRGS_SEC-XBRL-financials_as-presented_10-Q_2019-04-05_0000876167-19-000063.xlsx
