statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
income_statement,rok:OtherIncomeExpense,FY19,-362.4,ROK_SEC-XBRL-financials_as-presented_10-K_2019-11-12_0001024478-19-000044.xlsx,Income Statement,"Year Ended September 30, 2019",rok:OtherIncomeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2019-11-12_0001024478-19-000044.xlsx
income_statement,rok:OtherIncomeExpense,FY19,6.1,ROK_SEC-XBRL-financials_as-presented_10-K_2020-11-10_0001024478-20-000038.xlsx,Income Statement,"Year Ended September 30, 2019",rok:OtherIncomeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2019-11-12_0001024478-19-000044.xlsx
income_statement,rok:OtherIncomeExpense,FY19,6.1,ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx,Income Statement,"Year Ended September 30, 2019",rok:OtherIncomeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2019-11-12_0001024478-19-000044.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY20,-1.3,ROK_SEC-XBRL-financials_as-presented_10-K_2020-11-10_0001024478-20-000038.xlsx,Cash Flow,"Year Ended September 30, 2020",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2020-11-10_0001024478-20-000038.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY20,-1.3,ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx,Cash Flow,"Year Ended September 30, 2020",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2020-11-10_0001024478-20-000038.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY20,4.7,ROK_SEC-XBRL-financials_as-presented_10-K_2022-11-08_0001024478-22-000093.xlsx,Cash Flow,"Year Ended September 30, 2020",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2020-11-10_0001024478-20-000038.xlsx
cash_flow,us-gaap:ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,FY21,0.6,ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx,Cash Flow,"Year Ended September 30, 2021",us-gaap:ProceedsFromMaturitiesPrepaymentsAndCallsOfAvailableForSaleSecurities + us-gaap:ProceedsFromSaleOfPropertyPlantAndEquipment,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx
cash_flow,us-gaap:ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,FY21,0.4,ROK_SEC-XBRL-financials_as-presented_10-K_2022-11-08_0001024478-22-000093.xlsx,Cash Flow,"Year Ended September 30, 2021",us-gaap:ProceedsFromSaleOfPropertyPlantAndEquipment,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY21,-5.2,ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx,Cash Flow,"Year Ended September 30, 2021",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY21,-4.6,ROK_SEC-XBRL-financials_as-presented_10-K_2022-11-08_0001024478-22-000093.xlsx,Cash Flow,"Year Ended September 30, 2021",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY21,-4.2,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Cash Flow,"Year Ended September 30, 2021",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2021-11-09_0001024478-21-000083.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY22,-1.1,ROK_SEC-XBRL-financials_as-presented_10-K_2022-11-08_0001024478-22-000093.xlsx,Cash Flow,"Year Ended September 30, 2022",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2022-11-08_0001024478-22-000093.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY22,-0.5,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Cash Flow,"Year Ended September 30, 2022",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2022-11-08_0001024478-22-000093.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY22,-0.5,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Cash Flow,"Year Ended September 30, 2022",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2022-11-08_0001024478-22-000093.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY23,8224.9,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY23,8224.9,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY23,8225.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,FY23,-4808.7,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,FY23,-4808.7,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,FY23,-4103.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GrossProfit,FY23,3717.0,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GrossProfit,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GrossProfit,FY23,3717.0,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GrossProfit,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GrossProfit,FY23,4423.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GrossProfit,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,FY23,-2023.7,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,FY23,-2023.7,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,FY23,-2024.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GainLossOnInvestments,FY23,279.3,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GainLossOnInvestments,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GainLossOnInvestments,FY23,279.3,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GainLossOnInvestments,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GainLossOnInvestments,FY23,279.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GainLossOnInvestments,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,rok:OtherIncomeExpense,FY23,-71.3,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",rok:OtherIncomeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,rok:OtherIncomeExpense,FY23,-71.3,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",rok:OtherIncomeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,rok:OtherIncomeExpense,FY23,-71.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",rok:OtherIncomeExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GoodwillAndIntangibleAssetImpairment,FY23,-157.5,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GoodwillImpairmentLoss,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GoodwillAndIntangibleAssetImpairment,FY23,-157.5,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GoodwillImpairmentLoss,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:GoodwillAndIntangibleAssetImpairment,FY23,-158.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:GoodwillAndIntangibleAssetImpairment,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:InterestExpenseNonoperating,FY23,-135.3,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:InterestExpense,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:InterestExpenseNonoperating,FY23,-135.3,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:InterestExpenseNonoperating,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:InterestExpenseNonoperating,FY23,-135.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:InterestExpenseNonoperating,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,FY23,1608.5,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,FY23,1608.5,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,FY23,1608.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:IncomeTaxExpenseBenefit,FY23,-330.5,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:IncomeTaxExpenseBenefit,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:IncomeTaxExpenseBenefit,FY23,-330.5,ROK_SEC-XBRL-financials_as-presented_10-K_2024-11-12_0001024478-24-000107.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:IncomeTaxExpenseBenefit,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:IncomeTaxExpenseBenefit,FY23,-330.0,ROK_SEC-XBRL-financials_as-presented_10-K_2025-11-12_0001024478-25-000116.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:IncomeTaxExpenseBenefit,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
income_statement,us-gaap:NetIncomeLossAttributableToNoncontrollingInterest,FY23,-109.4,ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx,Income Statement,"Year Ended September 30, 2023",us-gaap:NetIncomeLossAttributableToNoncontrollingInterest,Kept period-primary filing ROK_SEC-XBRL-financials_as-presented_10-K_2023-11-08_0001024478-23-000126.xlsx
