statement_type,canonical_row_id,master_raw_concept,display_label,display_order,depth
balance_sheet,us-gaap:CashAndDueFromBanks,us-gaap:CashAndDueFromBanks,"Cash and due from banks (includes restricted cash of consolidated variable interest entities: 2026, $6; 2025, nil)",14,0
balance_sheet,us-gaap:InterestBearingDepositsInBanks,us-gaap:InterestBearingDepositsInBanks,"Interest-bearing deposits in other banks (includes restricted interest-bearing deposits of consolidated variable interest entities: 2026, $19; 2025, nil)",15,0
balance_sheet,us-gaap:ShortTermInvestments,us-gaap:ShortTermInvestments,"Short-term investment securities (includes restricted investments of consolidated variable interest entities: 2026, $85; 2025, $84)",18,0
balance_sheet,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,"Total cash and cash equivalents (includes restricted cash: 2026, $199; 2025, $169)",19,0
balance_sheet,us-gaap:NotesReceivableNet,us-gaap:NotesReceivableNet,"Card balances (includes gross amounts available to settle obligations of consolidated variable interest entities: 2026, $33,386; 2025, $33,378), less reserves for credit losses: 2026, $6,065; 2025, $6,089",20,0
balance_sheet,us-gaap:LoansReceivableHeldForSaleAmount,us-gaap:LoansReceivableHeldForSaleAmount,Card balances held for sale,22,0
balance_sheet,axp:DebtAndEquitySecuritiesAvailableForSale,axp:DebtAndEquitySecuritiesAvailableForSale,Investment securities,23,0
balance_sheet,us-gaap:PropertyPlantAndEquipmentNet,us-gaap:PropertyPlantAndEquipmentNet,"Premises and equipment, less accumulated depreciation and amortization: 2026, $12,441; 2025, $12,039",24,0
balance_sheet,us-gaap:OtherAssets,us-gaap:OtherAssets,"Other assets, less reserves for credit losses: 2026, $121; 2025, $86",25,0
balance_sheet,us-gaap:Assets,us-gaap:Assets,Total assets,26,0
balance_sheet,html:liabilities-and-shareholders-equity,html:liabilities-and-shareholders-equity,Liabilities and Shareholders’ Equity,27,0
balance_sheet,html:liabilities,html:liabilities,Liabilities,28,0
balance_sheet,us-gaap:Deposits,us-gaap:Deposits,Customer deposits,37,0
balance_sheet,us-gaap:AccountsPayableCurrentAndNoncurrent,us-gaap:AccountsPayableCurrentAndNoncurrent,Accounts payable,39,0
balance_sheet,us-gaap:ShortTermBorrowings,us-gaap:ShortTermBorrowings,Short-term borrowings,40,0
balance_sheet,us-gaap:LongTermDebt,us-gaap:LongTermDebt,"Long-term debt (includes debt issued by consolidated variable interest entities: 2026, $13,278; 2025, $13,022)",41,0
balance_sheet,us-gaap:OtherLiabilities,us-gaap:OtherLiabilities,Other liabilities,42,0
balance_sheet,us-gaap:Liabilities,us-gaap:Liabilities,Total liabilities,43,0
balance_sheet,us-gaap:CommitmentsAndContingencies,us-gaap:CommitmentsAndContingencies,Contingencies (Note 7),44,0
balance_sheet,html:shareholders-equity,html:shareholders-equity,Shareholders’ Equity,45,0
balance_sheet,us-gaap:PreferredStockValue,us-gaap:PreferredStockValue,"Preferred shares, $1.662/3 par value, authorized 20 million shares; issued and outstanding 1,600 shares as of March 31, 2026 and December 31, 2025",57,0
