statement_type,canonical_row_id,master_display_label,output_period,value,source_file,source_sheet,source_column,raw_line_label,raw_concept,source_method,derivation_formula
balance_sheet,html:cash-and-due-from-banks,Cash and due from banks,1Q19,4026.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019",Cash and due from banks,html:cash-and-due-from-banks,reported,
balance_sheet,html:interest-bearing-deposits-in-other-banks-includes-securities-purchased-under-resale-agreements-2019-308-2018-64,"Interest-bearing deposits in other banks (includes securities purchased under resale agreements: 2019, $308; 2018, $64)",1Q19,29110.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019","Interest-bearing deposits in other banks (includes securities purchased under resale agreements: 2019, $308; 2018, $64)",html:interest-bearing-deposits-in-other-banks-includes-securities-purchased-under-resale-agreements-2019-308-2018-64,reported,
balance_sheet,html:short-term-investment-securities,Short-term investment securities,1Q19,41.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019",Short-term investment securities,html:short-term-investment-securities,reported,
balance_sheet,html:total-cash-and-cash-equivalents,Total cash and cash equivalents,1Q19,33177.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019",Total cash and cash equivalents,html:total-cash-and-cash-equivalents,reported,
balance_sheet,html:card-member-receivables-includes-gross-receivables-available-to-settle-obligations-of-a-consolidated-variable-interest-entity-2019-7-758-2018-8-539-less-reserves-2019-608-2018-573,"Card Member receivables (includes gross receivables available to settle obligations of a consolidated variable interest entity: 2019, $7,758; 2018, $8,539), less reserves: 2019, $608; 2018, $573",1Q19,56227.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019","Card Member receivables (includes gross receivables available to settle obligations of a consolidated variable interest entity: 2019, $7,758; 2018, $8,539), less reserves: 2019, $608; 2018, $573",html:card-member-receivables-includes-gross-receivables-available-to-settle-obligations-of-a-consolidated-variable-interest-entity-2019-7-758-2018-8-539-less-reserves-2019-608-2018-573,reported,
balance_sheet,html:other-receivables-less-reserves-2019-25-2018-25,"Other receivables, less reserves: 2019, $25; 2018, $25",1Q19,3128.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019","Other receivables, less reserves: 2019, $25; 2018, $25",html:other-receivables-less-reserves-2019-25-2018-25,reported,
balance_sheet,html:card-member-loans-includes-gross-loans-available-to-settle-obligations-of-a-consolidated-variable-interest-entity-2019-31-495-2018-33-194-less-reserves-2019-2-121-2018-2-134,"Card Member loans (includes gross loans available to settle obligations of a consolidated variable interest entity: 2019, $31,495; 2018, $33,194), less reserves: 2019, $2,121; 2018, $2,134",1Q19,78874.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019","Card Member loans (includes gross loans available to settle obligations of a consolidated variable interest entity: 2019, $31,495; 2018, $33,194), less reserves: 2019, $2,121; 2018, $2,134",html:card-member-loans-includes-gross-loans-available-to-settle-obligations-of-a-consolidated-variable-interest-entity-2019-31-495-2018-33-194-less-reserves-2019-2-121-2018-2-134,reported,
balance_sheet,html:other-loans-less-reserves-2019-129-2018-124,"Other loans, less reserves: 2019, $129; 2018, $124",1Q19,3965.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019","Other loans, less reserves: 2019, $129; 2018, $124",html:other-loans-less-reserves-2019-129-2018-124,reported,
balance_sheet,html:investment-securities,Investment securities,1Q19,6457.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019",Investment securities,html:investment-securities,reported,
balance_sheet,html:premises-and-equipment-less-accumulated-depreciation-and-amortization-2019-6-315-2018-6-015,"Premises and equipment, less accumulated depreciation and amortization: 2019, $6,315; 2018, $6,015",1Q19,4479.0,AXP_SEC-XBRL-financials_as-presented_10-Q_2019-04-23_0000004962-19-000031.xlsx,Balance Sheet,"March 31, 2019","Premises and equipment, less accumulated depreciation and amortization: 2019, $6,315; 2018, $6,015",html:premises-and-equipment-less-accumulated-depreciation-and-amortization-2019-6-315-2018-6-015,reported,
