statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
income_statement,html:product,1Q19,9273.0,CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx,Income Statement,"Three Months Ended January 26, 2019",html:product,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx
income_statement,html:product,1Q19,34238.0,CSCO_SEC-XBRL-financials_as-presented_10-Q_2020-02-18_0000858877-20-000004.xlsx,Income Statement,"Three Months Ended January 26, 2019",us-gaap:CostOfGoodsAndServicesSold + us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx
income_statement,html:interest-and-other-income-loss-net,1Q19,132.0,CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx,Income Statement,"Three Months Ended January 26, 2019",html:interest-and-other-income-loss-net,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx
income_statement,html:interest-and-other-income-loss-net,1Q19,237.0,CSCO_SEC-XBRL-financials_as-presented_10-Q_2020-02-18_0000858877-20-000004.xlsx,Income Statement,"Three Months Ended January 26, 2019",us-gaap:InterestExpense + us-gaap:InvestmentIncomeInterestAndDividend + us-gaap:NonoperatingIncomeExpense,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx
income_statement,html:basic,1Q19,0.63,CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx,Income Statement,"Three Months Ended January 26, 2019",html:basic,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx
income_statement,html:basic,1Q19,5.1,CSCO_SEC-XBRL-financials_as-presented_10-Q_2020-02-18_0000858877-20-000004.xlsx,Income Statement,"Three Months Ended January 26, 2019",us-gaap:EarningsPerShareBasic + us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx
income_statement,html:diluted,1Q19,0.63,CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx,Income Statement,"Three Months Ended January 26, 2019",html:diluted,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx
income_statement,html:diluted,1Q19,5.135,CSCO_SEC-XBRL-financials_as-presented_10-Q_2020-02-18_0000858877-20-000004.xlsx,Income Statement,"Three Months Ended January 26, 2019",us-gaap:EarningsPerShareDiluted + us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-02-19_0000858877-19-000003.xlsx
income_statement,html:product,2Q19,9722.0,CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx,Income Statement,"Three Months Ended April 27, 2019",html:product,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx
income_statement,html:product,2Q19,35486.0,CSCO_SEC-XBRL-financials_as-presented_10-Q_2020-05-18_0000858877-20-000006.xlsx,Income Statement,"Three Months Ended April 27, 2019",us-gaap:CostOfGoodsAndServicesSold + us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx
income_statement,html:interest-and-other-income-loss-net,2Q19,102.0,CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx,Income Statement,"Three Months Ended April 27, 2019",html:interest-and-other-income-loss-net,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx
income_statement,html:interest-and-other-income-loss-net,2Q19,222.0,CSCO_SEC-XBRL-financials_as-presented_10-Q_2020-05-18_0000858877-20-000006.xlsx,Income Statement,"Three Months Ended April 27, 2019",us-gaap:InterestExpense + us-gaap:InvestmentIncomeInterestAndDividend + us-gaap:NonoperatingIncomeExpense,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx
income_statement,html:basic,2Q19,0.7,CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx,Income Statement,"Three Months Ended April 27, 2019",html:basic,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx
income_statement,html:basic,2Q19,5.07,CSCO_SEC-XBRL-financials_as-presented_10-Q_2020-05-18_0000858877-20-000006.xlsx,Income Statement,"Three Months Ended April 27, 2019",us-gaap:EarningsPerShareBasic + us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx
income_statement,html:diluted,2Q19,0.69,CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx,Income Statement,"Three Months Ended April 27, 2019",html:diluted,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx
income_statement,html:diluted,2Q19,5.105,CSCO_SEC-XBRL-financials_as-presented_10-Q_2020-05-18_0000858877-20-000006.xlsx,Income Statement,"Three Months Ended April 27, 2019",us-gaap:EarningsPerShareDiluted + us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Kept period-primary filing CSCO_SEC-XBRL-financials_as-presented_10-Q_2019-05-21_0000858877-19-000007.xlsx
