statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY19,-651.0,LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx,Income Statement,"Years Ended December 31, 2019",us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY19,-651.0,LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx,Income Statement,"Years Ended December 31, 2019",us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY19,-74.0,LMT_SEC-XBRL-financials_as-presented_10-K_2022-01-25_0000936468-22-000008.xlsx,Income Statement,"Years Ended December 31, 2019",us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx
balance_sheet,us-gaap:OtherLiabilitiesNoncurrent,FY19,5410.0,LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx,Balance Sheet,"December 31, 2019",us-gaap:OtherLiabilitiesNoncurrent,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx
balance_sheet,us-gaap:OtherLiabilitiesNoncurrent,FY19,5747.0,LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx,Balance Sheet,"December 31, 2019",us-gaap:OtherLiabilitiesNoncurrent,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx
balance_sheet,us-gaap:OtherLiabilitiesNoncurrent,FY19,5747.0,LMT_SEC-XBRL-financials_as-presented_10-Q_2020-04-22_0000936468-20-000056.xlsx,Balance Sheet,"December 31,2019",us-gaap:OtherLiabilitiesNoncurrent,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx
balance_sheet,us-gaap:OtherLiabilitiesNoncurrent,FY19,5747.0,LMT_SEC-XBRL-financials_as-presented_10-Q_2020-07-21_0000936468-20-000115.xlsx,Balance Sheet,"December 31,2019",us-gaap:OtherLiabilitiesNoncurrent,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx
balance_sheet,us-gaap:OtherLiabilitiesNoncurrent,FY19,5747.0,LMT_SEC-XBRL-financials_as-presented_10-Q_2020-10-22_0000936468-20-000125.xlsx,Balance Sheet,"December 31,2019",us-gaap:OtherLiabilitiesNoncurrent,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2020-02-07_0000936468-20-000016.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY20,182.0,LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx,Income Statement,"Years Ended December 31, 2020",us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY20,-37.0,LMT_SEC-XBRL-financials_as-presented_10-K_2022-01-25_0000936468-22-000008.xlsx,Income Statement,"Years Ended December 31, 2020",us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx
income_statement,us-gaap:OtherNonoperatingIncomeExpense,FY20,-37.0,LMT_SEC-XBRL-financials_as-presented_10-K_2023-01-26_0000936468-23-000009.xlsx,Income Statement,"Years Ended December 31, 2020",us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY20,38.0,LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx,Cash Flow,"Years Ended December 31, 2020",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY20,38.0,LMT_SEC-XBRL-financials_as-presented_10-K_2022-01-25_0000936468-22-000008.xlsx,Cash Flow,"Years Ended December 31, 2020",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing LMT_SEC-XBRL-financials_as-presented_10-K_2021-01-28_0000936468-21-000013.xlsx
