statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2Q24,24143.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx,Income Statement,"Three Months Ended May 4, 2024",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,2Q24,24531.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-05-30_0000027419-25-000101.xlsx,Income Statement,"Three Months Ended May 4, 2024",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,2Q24,17449.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx,Income Statement,"Three Months Ended May 4, 2024",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,2Q24,17471.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-05-30_0000027419-25-000101.xlsx,Income Statement,"Three Months Ended May 4, 2024",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,2Q24,5168.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx,Income Statement,"Three Months Ended May 4, 2024",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,2Q24,5146.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-05-30_0000027419-25-000101.xlsx,Income Statement,"Three Months Ended May 4, 2024",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,2Q24,2.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx,Cash Flow,"Three Months Ended May 4, 2024",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,2Q24,3.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-05-30_0000027419-25-000101.xlsx,Cash Flow,"Three Months Ended May 4, 2024",us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-05-31_0000027419-24-000129.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,3Q24,25021.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx,Income Statement,"Three Months Ended August 3, 2024",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,3Q24,25452.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-08-29_0000027419-25-000118.xlsx,Income Statement,"Three Months Ended August 3, 2024",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,3Q24,17799.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx,Income Statement,"Three Months Ended August 3, 2024",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,3Q24,17826.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-08-29_0000027419-25-000118.xlsx,Income Statement,"Three Months Ended August 3, 2024",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,3Q24,5392.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx,Income Statement,"Three Months Ended August 3, 2024",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,3Q24,5365.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-08-29_0000027419-25-000118.xlsx,Income Statement,"Three Months Ended August 3, 2024",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-08-30_0000027419-24-000152.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,4Q24,25228.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx,Income Statement,"Three Months Ended November 2, 2024",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,4Q24,25668.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-11-26_0000027419-25-000126.xlsx,Income Statement,"Three Months Ended November 2, 2024",us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,4Q24,18375.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx,Income Statement,"Three Months Ended November 2, 2024",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,4Q24,18402.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-11-26_0000027419-25-000126.xlsx,Income Statement,"Three Months Ended November 2, 2024",us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,4Q24,5486.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx,Income Statement,"Three Months Ended November 2, 2024",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,4Q24,5459.0,TGT_SEC-XBRL-financials_as-presented_10-Q_2025-11-26_0000027419-25-000126.xlsx,Income Statement,"Three Months Ended November 2, 2024",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing TGT_SEC-XBRL-financials_as-presented_10-Q_2024-11-27_0000027419-24-000179.xlsx
