statement_type,canonical_row_id,master_display_label,output_period,value,source_file,source_sheet,source_column,raw_line_label,raw_concept,source_method,derivation_formula
income_statement,us-gaap:PremiumsEarnedNet,Insurance premiums earned,FY18,57418.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Insurance premiums earned,html:insurance-premiums-earned,reported,
income_statement,brka:SalesAndServiceRevenue,Sales and service revenues,FY18,133336.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Sales and service revenues,html:sales-and-service-revenues,reported,
income_statement,us-gaap:OperatingLeaseLeaseIncome,Leasing revenues,FY18,5732.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Leasing revenues,html:leasing-revenues,reported,
income_statement,brka:InvestmentIncomeInterestDividendAndOther,"Interest, dividend and other investment income",FY18,7678.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018","Interest, dividend and other investment income",html:interest-dividend-and-other-investment-income,reported,
income_statement,us-gaap:Revenues,revenues revenues revenues,FY18,39258.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Energy operating revenues; Freight rail transportation revenues,html:energy-operating-revenues + html:freight-rail-transportation-revenues,summed_within_file,SUM(html:energy-operating-revenues + html:freight-rail-transportation-revenues) in BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx
income_statement,brka:ServiceRevenuesAndOtherIncome,Service revenues and other income,FY18,4415.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Service revenues and other income,html:service-revenues-and-other-income,reported,
income_statement,us-gaap:Revenues@R12,Total revenues,FY18,247837.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Total revenues,html:total-revenues,reported,
income_statement,us-gaap:GainLossOnInvestments,Investment gains (losses),FY18,-22155.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Investment gains (losses),html:investment-gains-losses,reported,
income_statement,us-gaap:GainLossOnDerivativeInstrumentsNetPretax,Derivative contract gains (losses),FY18,-300.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Derivative contract gains (losses),html:derivative-contract-gains-losses,reported,
income_statement,us-gaap:LiabilityForUnpaidClaimsAndClaimsAdjustmentExpenseIncurredClaims1,Insurance losses and loss adjustment expenses,FY18,39906.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Insurance losses and loss adjustment expenses,html:insurance-losses-and-loss-adjustment-expenses,reported,
income_statement,us-gaap:PolicyholderBenefitsAndClaimsIncurredNet,"Life, annuity and health insurance benefits",FY18,5699.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018","Life, annuity and health insurance benefits",html:life-annuity-and-health-insurance-benefits,reported,
income_statement,brka:InsuranceUnderwritingExpenses,Insurance underwriting expenses,FY18,9793.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Insurance underwriting expenses,html:insurance-underwriting-expenses,reported,
income_statement,us-gaap:CostOfGoodsAndServicesSold,Cost of sales and services,FY18,106083.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Cost of sales and services,html:cost-of-sales-and-services,reported,
income_statement,brka:CostOfLeasing,Cost of leasing,FY18,4061.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Cost of leasing,html:cost-of-leasing,reported,
income_statement,us-gaap:SellingGeneralAndAdministrativeExpense,"Selling, general and administrative expenses",FY18,18238.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018","Selling, general and administrative expenses",html:selling-general-and-administrative-expenses,reported,
income_statement,us-gaap:InterestExpense,Interest expense,FY18,1035.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Interest expense,html:interest-expense,reported,
income_statement,us-gaap:OperatingExpenses,Freight rail transportation expenses,FY18,16045.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Freight rail transportation expenses,html:freight-rail-transportation-expenses,reported,
income_statement,brka:CostsOfServicesAndOperatingExpenses,Utilities and energy cost of sales and other expenses,FY18,11641.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Utilities and energy cost of sales and other expenses,html:utilities-and-energy-cost-of-sales-and-other-expenses,reported,
income_statement,us-gaap:OtherExpenses,Other expenses,FY18,3895.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Other expenses,html:other-expenses,reported,
income_statement,us-gaap:InterestExpense@R28,Interest expense,FY18,2818.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Interest expense,html:interest-expense-2,reported,
income_statement,html:34-399,"34,399",FY18,34399.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018","34,399",html:34-399,reported,
income_statement,html:costs-and-expenses,Costs and expenses:,FY18,219214.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Total costs and expenses,html:total-costs-and-expenses,reported,
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,Earnings before income taxes and equity method earnings,FY18,6168.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Earnings before income taxes and equity method earnings (losses),html:earnings-before-income-taxes-and-equity-method-earnings-losses,reported,
income_statement,us-gaap:IncomeLossFromEquityMethodInvestments,Equity method earnings (losses),FY18,-2167.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Equity method earnings (losses),html:equity-method-earnings-losses,reported,
income_statement,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Earnings before income taxes,FY18,4001.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Earnings before income taxes,html:earnings-before-income-taxes,reported,
income_statement,us-gaap:IncomeTaxExpenseBenefit,Income tax expense,FY18,-321.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Income tax expense (benefit),html:income-tax-expense-benefit,reported,
income_statement,us-gaap:ProfitLoss,Net earnings,FY18,8343.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Net earnings; Net earnings attributable to Berkshire Hathaway shareholders,html:net-earnings + html:net-earnings-attributable-to-berkshire-hathaway-shareholders,summed_within_file,SUM(html:net-earnings + html:net-earnings-attributable-to-berkshire-hathaway-shareholders) in BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx
income_statement,us-gaap:NetIncomeLossAttributableToNoncontrollingInterest,Earnings attributable to noncontrolling interests,FY18,301.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Earnings attributable to noncontrolling interests,html:earnings-attributable-to-noncontrolling-interests,reported,
income_statement,us-gaap:EarningsPerShareBasic,Net earnings per average equivalent Class Ashare,FY18,2446.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Net earnings per average equivalent Class Ashare,html:net-earnings-per-average-equivalent-class-ashare,reported,
income_statement,us-gaap:EarningsPerShareBasic@R39,Net earnings per average equivalent Class Bshare*,FY18,1.63,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Net earnings per average equivalent Class Bshare*,html:net-earnings-per-average-equivalent-class-bshare,reported,
income_statement,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Average equivalent Class Ashares outstanding,FY18,1643795.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Average equivalent Class Ashares outstanding,html:average-equivalent-class-ashares-outstanding,reported,
income_statement,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic@R41,Average equivalent Class Bshares outstanding,FY18,2465692368.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Income Statement,"Year Ended December 31, 2018",Average equivalent Class Bshares outstanding,html:average-equivalent-class-bshares-outstanding,reported,
balance_sheet,us-gaap:AvailableForSaleSecuritiesDebtSecurities,Investments in fixed maturity securities,FY18,19898.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Balance Sheet,"Dec. 31, 2018",Investments in fixed maturity securities,html:investments-in-fixed-maturity-securities,reported,
balance_sheet,us-gaap:EquitySecuritiesFvNi,Investments in equity securities,FY18,172757.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Balance Sheet,"Dec. 31, 2018",Investments in equity securities,html:investments-in-equity-securities,reported,
balance_sheet,us-gaap:NotesReceivableNet,Loans and finance receivables,FY18,16280.0,BRK.B_SEC-XBRL-financials_as-presented_10-K_2019-02-25_0001193125-19-048926.xlsx,Balance Sheet,"Dec. 31, 2018",Loans and finance receivables,html:loans-and-finance-receivables,reported,
