statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
income_statement,html:interest-income-and-other-net,1Q19,46.0,COST_SEC-XBRL-financials_as-presented_10-Q_2019-03-13_0000909832-19-000003.xlsx,Income Statement,"12 Weeks Ended February 17, 2019",html:interest-income-and-other-net,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2019-03-13_0000909832-19-000003.xlsx
income_statement,html:interest-income-and-other-net,1Q19,2555.0,COST_SEC-XBRL-financials_as-presented_10-Q_2020-03-12_0000909832-20-000004.xlsx,Income Statement,"12 Weeks Ended February 17, 2019",us-gaap:InterestAndOtherIncome + us-gaap:InterestExpense + us-gaap:NetIncomeLoss,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2019-03-13_0000909832-19-000003.xlsx
cash_flow,html:purchases-of-short-term-investments,1Q19,-457.0,COST_SEC-XBRL-financials_as-presented_10-Q_2019-03-13_0000909832-19-000003.xlsx,Cash Flow,"24 Weeks Ended February 17, 2019",html:purchases-of-short-term-investments,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2019-03-13_0000909832-19-000003.xlsx
cash_flow,html:purchases-of-short-term-investments,1Q19,164.0,COST_SEC-XBRL-financials_as-presented_10-Q_2020-03-12_0000909832-20-000004.xlsx,Cash Flow,"24 Weeks Ended February 17, 2019",us-gaap:PaymentsToAcquireShortTermInvestments + us-gaap:ProceedsFromSaleAndMaturityOfMarketableSecurities,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2019-03-13_0000909832-19-000003.xlsx
income_statement,html:interest-income-and-other-net,2Q19,36.0,COST_SEC-XBRL-financials_as-presented_10-Q_2019-06-06_0000909832-19-000013.xlsx,Income Statement,"12 Weeks Ended May 12, 2019",html:interest-income-and-other-net,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2019-06-06_0000909832-19-000013.xlsx
income_statement,html:interest-income-and-other-net,2Q19,3468.0,COST_SEC-XBRL-financials_as-presented_10-Q_2020-06-04_0000909832-20-000009.xlsx,Income Statement,"12 Weeks Ended May 12,2019",us-gaap:InterestAndOtherIncome + us-gaap:InterestExpense + us-gaap:NetIncomeLoss,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2019-06-06_0000909832-19-000013.xlsx
cash_flow,html:purchases-of-short-term-investments,2Q19,-753.0,COST_SEC-XBRL-financials_as-presented_10-Q_2019-06-06_0000909832-19-000013.xlsx,Cash Flow,"36 Weeks Ended May 12, 2019",html:purchases-of-short-term-investments,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2019-06-06_0000909832-19-000013.xlsx
cash_flow,html:purchases-of-short-term-investments,2Q19,47.0,COST_SEC-XBRL-financials_as-presented_10-Q_2020-06-04_0000909832-20-000009.xlsx,Cash Flow,"36 Weeks Ended May 12,2019",us-gaap:PaymentsToAcquireShortTermInvestments + us-gaap:ProceedsFromSaleAndMaturityOfMarketableSecurities,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2019-06-06_0000909832-19-000013.xlsx
income_statement,html:selling-general-and-administrative,4Q20,4298.0,COST_SEC-XBRL-financials_as-presented_10-Q_2020-12-16_0000909832-20-000026.xlsx,Income Statement,"12 Weeks Ended November 22,2020",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2020-12-16_0000909832-20-000026.xlsx
income_statement,html:selling-general-and-administrative,4Q20,4320.0,COST_SEC-XBRL-financials_as-presented_10-Q_2021-12-22_0000909832-21-000021.xlsx,Income Statement,"12 Weeks Ended November 22,2020",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2020-12-16_0000909832-20-000026.xlsx
income_statement,html:selling-general-and-administrative,1Q21,4342.0,COST_SEC-XBRL-financials_as-presented_10-Q_2021-03-10_0000909832-21-000003.xlsx,Income Statement,"12 Weeks Ended February 14,2021",us-gaap:SellingGeneralAndAdministrativeExpense,Kept period-primary filing COST_SEC-XBRL-financials_as-presented_10-Q_2021-03-10_0000909832-21-000003.xlsx
