statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
cash_flow,us-gaap:IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2Q19,2488.0,HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx,Cash Flow,"Three Months Ended May 5, 2019",html:changes-in-accounts-payable-and-accrued-expenses,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx
cash_flow,us-gaap:IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,2Q19,2626.0,HD_SEC-XBRL-financials_as-presented_10-Q_2020-05-27_0000354950-20-000041.xlsx,Cash Flow,"Three Months Ended May 5,2019",us-gaap:IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx
cash_flow,us-gaap:NetCashProvidedByUsedInOperatingActivities,2Q19,4575.0,HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx,Cash Flow,"Three Months Ended May 5, 2019",html:net-cash-provided-by-operating-activities,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx
cash_flow,us-gaap:NetCashProvidedByUsedInOperatingActivities,2Q19,4713.0,HD_SEC-XBRL-financials_as-presented_10-Q_2020-05-27_0000354950-20-000041.xlsx,Cash Flow,"Three Months Ended May 5,2019",us-gaap:NetCashProvidedByUsedInOperatingActivities,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx
cash_flow,us-gaap:ProceedsFromPaymentsForOtherFinancingActivities,2Q19,40.0,HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx,Cash Flow,"Three Months Ended May 5, 2019",html:other-financing-activities,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx
cash_flow,us-gaap:ProceedsFromPaymentsForOtherFinancingActivities,2Q19,-98.0,HD_SEC-XBRL-financials_as-presented_10-Q_2020-05-27_0000354950-20-000041.xlsx,Cash Flow,"Three Months Ended May 5,2019",us-gaap:ProceedsFromPaymentsForOtherFinancingActivities,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx
cash_flow,us-gaap:NetCashProvidedByUsedInFinancingActivities,2Q19,-3775.0,HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx,Cash Flow,"Three Months Ended May 5, 2019",html:net-cash-used-in-financing-activities,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx
cash_flow,us-gaap:NetCashProvidedByUsedInFinancingActivities,2Q19,-3913.0,HD_SEC-XBRL-financials_as-presented_10-Q_2020-05-27_0000354950-20-000041.xlsx,Cash Flow,"Three Months Ended May 5,2019",us-gaap:NetCashProvidedByUsedInFinancingActivities,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2019-05-29_0000354950-19-000024.xlsx
income_statement,us-gaap:InvestmentIncomeInterestAndDividend,3Q20,981.0,HD_SEC-XBRL-financials_as-presented_10-Q_2020-08-25_0000354950-20-000068.xlsx,Income Statement,"Three Months Ended August 2,2020",us-gaap:InterestExpense + us-gaap:InvestmentIncomeInterestAndDividend,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2020-08-25_0000354950-20-000068.xlsx
income_statement,us-gaap:InvestmentIncomeInterestAndDividend,3Q20,337.0,HD_SEC-XBRL-financials_as-presented_10-Q_2021-08-24_0000354950-21-000189.xlsx,Income Statement,"Three Months Ended August 2,2020",us-gaap:InterestExpense + us-gaap:InvestmentIncomeInterestAndDividend,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2020-08-25_0000354950-20-000068.xlsx
cash_flow,us-gaap:DepreciationDepletionAndAmortization,2Q24,837.0,HD_SEC-XBRL-financials_as-presented_10-Q_2024-05-21_0000354950-24-000152.xlsx,Cash Flow,"Three Months Ended April 28,2024",us-gaap:DepreciationDepletionAndAmortization,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2024-05-21_0000354950-24-000152.xlsx
cash_flow,us-gaap:DepreciationDepletionAndAmortization,2Q24,785.0,HD_SEC-XBRL-financials_as-presented_10-Q_2025-05-28_0000354950-25-000165.xlsx,Cash Flow,"Three Months Ended April 28,2024",us-gaap:DepreciationDepletionAndAmortization,Kept period-primary filing HD_SEC-XBRL-financials_as-presented_10-Q_2024-05-21_0000354950-24-000152.xlsx
