statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
income_statement,us-gaap:InterestExpenseNonoperating,FY18,1005.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx,Income Statement,FY18,html:interest-expense-net-of-portion-capitalized-note-4,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:InterestExpenseNonoperating,FY18,394.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2020-02-18_0000200406-20-000010.xlsx,Income Statement,FY18,us-gaap:InterestExpense + us-gaap:InvestmentIncomeInterest,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:InterestExpenseNonoperating,FY18,394.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2021-02-22_0000200406-21-000008.xlsx,Income Statement,FY18,us-gaap:InterestExpense + us-gaap:InvestmentIncomeInterest,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,FY18,8.3815,JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx,Income Statement,FY18,html:basic + html:basic-2,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,FY18,2.6815,JNJ_SEC-XBRL-financials_as-presented_10-K_2020-02-18_0000200406-20-000010.xlsx,Income Statement,FY18,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,FY18,2.6815,JNJ_SEC-XBRL-financials_as-presented_10-K_2021-02-22_0000200406-21-000008.xlsx,Income Statement,FY18,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,FY18,8.3387,JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx,Income Statement,FY18,html:diluted + html:diluted-2,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,FY18,2.7287,JNJ_SEC-XBRL-financials_as-presented_10-K_2020-02-18_0000200406-20-000010.xlsx,Income Statement,FY18,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,FY18,2.7287,JNJ_SEC-XBRL-financials_as-presented_10-K_2021-02-22_0000200406-21-000008.xlsx,Income Statement,FY18,us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY18,-612.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx,Cash Flow,FY18,html:other + html:other-primarily-intangibles,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY18,-464.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2020-02-18_0000200406-20-000010.xlsx,Cash Flow,FY18,us-gaap:PaymentsForProceedsFromOtherInvestingActivities + us-gaap:ProceedsFromPaymentsForOtherFinancingActivities,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
cash_flow,us-gaap:PaymentsForProceedsFromOtherInvestingActivities,FY18,-464.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2021-02-22_0000200406-21-000008.xlsx,Cash Flow,FY18,us-gaap:PaymentsForProceedsFromOtherInvestingActivities + us-gaap:ProceedsFromPaymentsForOtherFinancingActivities,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2019-02-20_0000200406-19-000009.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY21,93775.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2022-02-17_0000200406-22-000022.xlsx,Income Statement,FY21,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2022-02-17_0000200406-22-000022.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY21,93775.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2023-02-16_0000200406-23-000016.xlsx,Income Statement,FY21,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2022-02-17_0000200406-22-000022.xlsx
income_statement,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,FY21,78740.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2024-02-16_0000200406-24-000013.xlsx,Income Statement,FY21,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2022-02-17_0000200406-22-000022.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,FY21,29855.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2022-02-17_0000200406-22-000022.xlsx,Income Statement,FY21,us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2022-02-17_0000200406-22-000022.xlsx
income_statement,us-gaap:CostOfGoodsAndServicesSold,FY21,29855.0,JNJ_SEC-XBRL-financials_as-presented_10-K_2023-02-16_0000200406-23-000016.xlsx,Income Statement,FY21,us-gaap:CostOfGoodsAndServicesSold,Kept period-primary filing JNJ_SEC-XBRL-financials_as-presented_10-K_2022-02-17_0000200406-22-000022.xlsx
