statement_type,canonical_row_id,period,value,source_file,source_sheet,source_column,raw_concept,resolution
cash_flow,html:proceeds-from-maturities-of-marketable-securities,2Q19,2219.0,NVDA_SEC-XBRL-financials_as-presented_10-Q_2019-05-16_0001045810-19-000079.xlsx,Cash Flow,"Three Months Ended April 28, 2019",html:proceeds-from-maturities-of-marketable-securities,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2019-05-16_0001045810-19-000079.xlsx
cash_flow,html:proceeds-from-maturities-of-marketable-securities,2Q19,2245.0,NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-05-21_0001045810-20-000065.xlsx,Cash Flow,"Three Months Ended April 28, 2019",us-gaap:ProceedsFromSaleAndMaturityOfMarketableSecurities + us-gaap:ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2019-05-16_0001045810-19-000079.xlsx
cash_flow,html:proceeds-related-to-employee-stock-plans,2Q19,83.0,NVDA_SEC-XBRL-financials_as-presented_10-Q_2019-05-16_0001045810-19-000079.xlsx,Cash Flow,"Three Months Ended April 28, 2019",html:proceeds-related-to-employee-stock-plans,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2019-05-16_0001045810-19-000079.xlsx
cash_flow,html:proceeds-related-to-employee-stock-plans,2Q19,-128.0,NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-05-21_0001045810-20-000065.xlsx,Cash Flow,"Three Months Ended April 28, 2019",nvda:Netproceedspaymentsrelatedtoemployeestockplans + us-gaap:PaymentsRelatedToTaxWithholdingForShareBasedCompensation,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2019-05-16_0001045810-19-000079.xlsx
cash_flow,html:other,2Q20,-2.0,NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-05-21_0001045810-20-000065.xlsx,Cash Flow,"Three Months Ended April 26, 2020",us-gaap:OtherNoncashIncomeExpense + us-gaap:PaymentsToAcquireOtherInvestments,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-05-21_0001045810-20-000065.xlsx
cash_flow,html:other,2Q20,-5.0,NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-05-26_0001045810-21-000064.xlsx,Cash Flow,"Three Months Ended April 26, 2020",us-gaap:OtherNoncashIncomeExpense + us-gaap:PaymentsForProceedsFromOtherInvestingActivities,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-05-21_0001045810-20-000065.xlsx
income_statement,html:other-net,3Q20,-81.0,NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx,Income Statement,"Three Months Ended July 26, 2020",us-gaap:NonoperatingIncomeExpense + us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx
income_statement,html:other-net,3Q20,-43.0,NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-08-20_0001045810-21-000131.xlsx,Income Statement,"Three Months Ended July 26, 2020",us-gaap:NonoperatingIncomeExpense + us-gaap:OtherNonoperatingIncomeExpense,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx
income_statement,html:basic-in-shares,3Q20,1234.51,NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx,Income Statement,"Three Months Ended July 26, 2020",us-gaap:EarningsPerShareBasic + us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx
income_statement,html:basic-in-shares,3Q20,2.714,NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-08-20_0001045810-21-000131.xlsx,Income Statement,"Three Months Ended July 26, 2020",us-gaap:EarningsPerShareBasic + us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx
income_statement,html:diluted-in-shares,3Q20,1253.46,NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx,Income Statement,"Three Months Ended July 26, 2020",us-gaap:EarningsPerShareDiluted + us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx
income_statement,html:diluted-in-shares,3Q20,2.754,NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-08-20_0001045810-21-000131.xlsx,Income Statement,"Three Months Ended July 26, 2020",us-gaap:EarningsPerShareDiluted + us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-08-19_0001045810-20-000147.xlsx
income_statement,html:basic-in-shares,4Q20,620.16,NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-11-18_0001045810-20-000189.xlsx,Income Statement,"Three Months Ended October 25, 2020",us-gaap:EarningsPerShareBasic + us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-11-18_0001045810-20-000189.xlsx
income_statement,html:basic-in-shares,4Q20,3.012,NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-11-22_0001045810-21-000163.xlsx,Income Statement,"Three Months Ended October 25, 2020",us-gaap:EarningsPerShareBasic + us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-11-18_0001045810-20-000189.xlsx
income_statement,html:diluted-in-shares,4Q20,632.12,NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-11-18_0001045810-20-000189.xlsx,Income Statement,"Three Months Ended October 25, 2020",us-gaap:EarningsPerShareDiluted + us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-11-18_0001045810-20-000189.xlsx
income_statement,html:diluted-in-shares,4Q20,3.05,NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-11-22_0001045810-21-000163.xlsx,Income Statement,"Three Months Ended October 25, 2020",us-gaap:EarningsPerShareDiluted + us-gaap:WeightedAverageNumberOfDilutedSharesOutstanding,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2020-11-18_0001045810-20-000189.xlsx
income_statement,html:basic-in-shares,2Q21,624.08,NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-05-26_0001045810-21-000064.xlsx,Income Statement,"Three Months Ended May 2, 2021",us-gaap:EarningsPerShareBasic + us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-05-26_0001045810-21-000064.xlsx
income_statement,html:basic-in-shares,2Q21,3.254,NVDA_SEC-XBRL-financials_as-presented_10-Q_2022-05-27_0001045810-22-000079.xlsx,Income Statement,"Three Months Ended May 2, 2021",us-gaap:EarningsPerShareBasic + us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,Kept period-primary filing NVDA_SEC-XBRL-financials_as-presented_10-Q_2021-05-26_0001045810-21-000064.xlsx
